,pos_tagged_coms
814,"[('Le', 'DET'), ('même', 'ADJ'), ('que', 'CS'), ('chez', 'P'), ('le', 'DET'), ('coiffeur', 'NC'), ('mais', 'CC'), ('beaucoup', 'ADV'), ('moins', 'ADV'), ('cher', 'ADJ'), ('.', 'PUNC'), ('Un', 'DET'), ('soin', 'NC'), ('parfait', 'ADJ'), ('dans', 'P'), ('mon', 'DET'), ('cas', 'NC'), (':', 'PUNC'), ('cheveux', 'NC'), ('courts', 'ADJ'), ('et', 'CC'), ('raides', 'ADJ')]"
815,"[('Cire', 'NPP'), ('de', 'P'), ('très', 'ADV'), ('bonne', 'ADJ'), ('qualité', 'NC'), ('-', 'PUNC'), ('Ne', 'ADV'), ('colle', 'V'), ('pas', 'ADV'), ('-', 'PUNC'), ('Sent', 'V'), ('bon', 'ADJ'), ('-', 'PUNC'), ('ne', 'ADV'), ('se', 'CLR'), ('transforme', 'V'), ('pas', 'ADV'), ('en', 'P'), ('pellicule', 'NC'), ('blanche', 'ADJ'), ('?', 'PUNC'), ('?', 'PUNC'), ('?', 'PUNC'), ('?', 'PUNC'), ('?', 'PUNC'), ('?', 'PUNC'), ('?', 'PUNC'), ('?', 'PUNC')]"
816,"[('Perte', 'NC'), ('excessive', 'ADJ'), ('des', 'P'), ('cheveux', 'NC')]"
817,"[('Tracé', 'VPP'), ('parfait', 'ADJ'), (',', 'PUNC'), ('fin', 'NC'), ('ou', 'CC'), ('épais', 'ADJ'), ('selon', 'P'), ('sa', 'DET'), ('volonté', 'NC'), ('.', 'PUNC'), ('Excellente', 'ADJ'), ('tenue', 'NC'), ('même', 'ADJ'), ('pour', 'P'), ('mes', 'DET'), ('yeux', 'NC'), ('sensibles', 'ADJ'), ('(', 'ADJ'), ('porteuse', 'ADJ'), ('de', 'P'), ('lentilles', 'N'), ('de', 'P'), ('contact', 'N'), (')', 'N'), ('Je', 'CLS'), ('ne', 'ADV'), ('mets', 'V'), ('plus', 'ADV'), ('que', 'CS'), ('celui', 'PRO'), ('là', 'ADV'), ('!', 'PUNC')]"
818,"[(""J'"", 'CLS'), ('utlise', 'V'), ('Progress', 'NPP'), ('homme', 'NC'), ('depuis', 'P'), ('plus', 'ADV'), ('de', 'P'), ('10', 'DET'), ('ans', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('suis', 'V'), ('très', 'ADV'), ('satisfait', 'ADJ'), ('du', 'P'), ('résultat', 'NC'), (',', 'PUNC'), ('même', 'ADV'), ('si', 'C'), ('à', 'P'), ('cause', 'N'), ('des', 'P'), ('ruptures', 'NC'), ('de', 'P'), ('stock', 'NC'), ('je', 'CLS'), ('dois', 'V'), ('attendre', 'VINF'), ('un', 'DET'), ('mois', 'NC'), ('de', 'P'), ('plus', 'ADV'), ('pour', 'P'), ('faire', 'VINF'), ('le', 'DET'), ('traitement', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('lis', 'V'), ('parfois', 'ADV'), ('les', 'DET'), ('critiques', 'NC'), (',', 'PUNC'), ('en', 'P'), ('ce', 'PRO'), ('qui', 'PROREL'), ('me', 'CLO'), ('concerne', 'V'), ('je', 'CLS'), ('confirme', 'V'), ('que', 'CS'), ('ce', 'DET'), ('produit', 'NC'), ('est', 'V'), ('réellement', 'ADV'), ('efficace', 'ADJ'), ('si', 'CS'), ('il', 'CLS'), ('est', 'V'), ('utilisé', 'VPP'), ('régulierement', 'ADV'), ('.', 'PUNC'), ('Moi', 'PRO'), ('un', 'DET'), ('tube', 'NC'), ('par', 'P'), ('mois', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), (""J'"", 'CLS'), ('habite', 'V'), ('en', 'P'), ('Espagne', 'NPP'), (',', 'PUNC'), (""j'"", 'CLS'), ('ai', 'V'), ('reçu', 'VPP'), ('le', 'DET'), ('colis', 'NC'), ('dans', 'P'), ('les', 'DET'), ('délais', 'NC'), ('indiqué', 'VPP'), (',', 'PUNC'), ('le', 'DET'), ('suivi', 'NC'), ('est', 'V'), ('parfais', 'ADJ'), ('.', 'PUNC'), ('Amazone', 'NPP'), ('est', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('pour', 'P'), ('commander', 'VINF'), ('depuis', 'P'), (""l'"", 'DET'), ('étranger', 'N'), ('en', 'P'), ('toute', 'DET'), ('confiance', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC')]"
819,"[('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC')]"
820,"[('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), ('et', 'CC'), ('sent', 'V'), ('très', 'ADV'), ('bon', 'ADJ'), (',', 'PUNC'), ('agréable', 'ADJ'), ('Produit', 'NC'), ('fidèle', 'ADJ'), ('a', 'V'), ('la', 'DET'), ('marque', 'NC'), ('Aucune', 'DET'), ('inquiétude', 'NC'), ('sur', 'P'), ('le', 'DET'), ('produit', 'NC'), ('je', 'CLS'), ('recommande', 'V'), ('.', 'PUNC')]"
821,"[('Ce', 'DET'), ('shampooing', 'NC'), ('permet', 'V'), (""d'"", 'P'), ('éviter', 'VINF'), ('que', 'CS'), ('la', 'DET'), ('coloration', 'NC'), ('blonde', 'ADJ'), ('jaunisse', 'ADJ'), ('.', 'PUNC'), ('Attention', 'N'), ('cependant', 'ADV'), ('à', 'P'), ('porter', 'VINF'), ('des', 'DET'), ('gants', 'NC'), ('lors', 'ADV'), ('de', 'P'), (""l'"", 'DET'), ('utilisation', 'NC'), ('(', 'ADJ'), ('bleuit', 'V'), ('les', 'DET'), ('mains', 'NC'), ('et', 'CC'), ('les', 'DET'), ('ongles', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), (')', 'DET'), ('.', 'PUNC'), ('Ce', 'DET'), ('conditionnement', 'NC'), ('est', 'V'), ('beaucoup', 'ADV'), ('plus', 'ADV'), ('économique', 'ADJ'), ('que', 'CS'), ('ceux', 'PRO'), ('que', 'PROREL'), (""l'"", 'DET'), ('on', 'CL'), ('peut', 'V'), ('acheter', 'VINF'), ('directement', 'ADV'), ('chez', 'P'), ('le', 'DET'), ('coiffeur', 'NC'), ('.', 'PUNC')]"
822,"[('Argile', 'NC'), ('coiffante', 'ADJ'), ('adapté', 'VPP'), ('à', 'P'), ('mon', 'DET'), ('besoin', 'NC'), (',', 'PUNC'), (""c'"", 'CLS'), ('est', 'V'), ('à', 'P'), ('dire', 'VINF'), ('des', 'DET'), ('cheveux', 'NC'), ('raides', 'ADJ'), ('(', 'DET'), ('homme', 'NC'), (')', 'ADJ'), ('Donne', 'V'), ('un', 'DET'), ('effet', 'NC'), ('coiffant', 'VPR'), ('très', 'ADV'), ('fixant', 'VPR'), ('mais', 'CC'), ('qui', 'PROREL'), ('permet', 'V'), ('de', 'P'), ('se', 'CLR'), ('recoiffer', 'VINF'), ('quand', 'CS'), ('on', 'CLS'), ('le', 'CLO'), ('souhaite', 'V'), ('pendant', 'P'), ('la', 'DET'), ('journée', 'NC'), ('!', 'PUNC'), ('Totalement', 'ADV'), ('satisfait', 'ADJ'), (',', 'PUNC'), ('je', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V'), ('depuis', 'P'), ('3', 'DET'), ('-', 'PUNC'), ('4', 'DET'), ('ans', 'NC'), ('.', 'PUNC'), ('Le', 'DET'), ('prix', 'NC'), ('est', 'V'), ('imbattable', 'ADJ'), ('par', 'P'), ('rapport', 'N'), ('à', 'P'), (""l'"", 'DET'), ('achat', 'NC'), ('dans', 'P'), ('un', 'DET'), ('salon', 'NC'), ('de', 'P'), ('coiffure', 'NC'), ('physique', 'ADJ'), ('.', 'PUNC')]"
823,"[(""C'"", 'CLS'), ('est', 'V'), ('devenu', 'VPP'), ('ma', 'DET'), ('base', 'NC'), ('de', 'P'), ('maquillage', 'NC'), ('par', 'P'), ('référence', 'NC'), (',', 'PUNC'), ('il', 'CLS'), ('estompe', 'V'), ('les', 'DET'), ('pores', 'NC'), ('et', 'CC'), ('les', 'DET'), ('ridules', 'NC'), (',', 'PUNC'), ('on', 'CLS'), ('a', 'V'), ('la', 'DET'), ('peau', 'NC'), ('super', 'ADJ'), ('douce', 'ADJ'), (""j'"", 'CLS'), ('adore', 'V')]"
824,"[('Cela', 'PRO'), (""n'"", 'ADV'), ('est', 'V'), ('pas', 'ADV'), ('précisé', 'VPP'), ('mais', 'CC'), ('le', 'DET'), ('produit', 'NC'), ('ne', 'ADV'), ('provient', 'V'), ('pas', 'ADV'), ('de', 'P'), ('France', 'NPP'), ('car', 'CC'), ('toutes', 'ADJ'), ('les', 'DET'), ('inscriptions', 'NC'), ('écrites', 'VPP'), ('sur', 'P'), ('le', 'DET'), ('produit', 'NC'), ('sont', 'V'), ('dans', 'P'), ('une', 'DET'), ('langue', 'NC'), ('étrangère', 'ADJ'), ('(', 'DET'), ('à', 'P'), (""l'"", 'DET'), ('inverse', 'N'), ('de', 'P'), ('mon', 'DET'), ('pot', 'N'), ('de', 'P'), ('gel', 'NC'), ('habituel', 'ADJ'), ('où', 'PROREL'), ('tout', 'PRO'), ('est', 'V'), ('écrit', 'VPP'), ('en', 'P'), ('français', 'NC'), (')', 'ADJ'), ('.', 'PUNC'), ('A', 'P'), ('savoir', 'V'), ('avant', 'P'), ('de', 'P'), ('commander', 'VINF'), (',', 'PUNC'), ('et', 'CC'), ('surtout', 'ADV'), ('à', 'P'), ('préciser', 'VINF'), ('dans', 'P'), (""l'"", 'DET'), ('annonce', 'NC'), ('svp', 'ADJ'), (',', 'PUNC'), ('merci', 'N'), ('.', 'PUNC')]"
825,"[('Stimuler', 'VINF'), ('la', 'DET'), ('repousse', 'NC'), ('des', 'P'), ('cheveux', 'NC')]"
826,"[('Idéal', 'ADJ'), ('après', 'P'), ('avoir', 'VINF'), ('séché', 'VPP'), ('mes', 'DET'), ('cheveux', 'NC'), ('!', 'PUNC'), (""L'"", 'DET'), ('odeur', 'NC'), ('est', 'V'), ('très', 'ADV'), ('agréable', 'ADJ'), ('!', 'PUNC')]"
827,"[('il', 'CLS'), ('est', 'V'), ('super', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('mais', 'CC'), (""n'"", 'ADV'), ('est', 'V'), ('pas', 'ADV'), ('waterproof', 'ADJ'), ('comme', 'CS'), ('il', 'CLS'), ('le', 'CLO'), ('disent', 'V'), ('il', 'CLS'), ('suffit', 'V'), (""d'"", 'P'), ('avoir', 'VINF'), ('un', 'DET'), ('peu', 'ADV'), ('chaud', 'ADJ'), ('est', 'V'), ('fini', 'VPP'), ('plus', 'ADV'), ('rien', 'PRO'), ('bon', 'ADJ'), (""l'"", 'DET'), ('avantage', 'NC'), (""c'"", 'CLS'), ('est', 'V'), ('qu', 'VPP'), (""'"", 'DET'), ('il', 'CLS'), ('ne', 'ADV'), ('coule', 'V'), ('pas', 'ADV')]"
828,"[('Parfais', 'VPP'), ('comme', 'P'), ('toute', 'ADJ'), ('la', 'DET'), ('gamme', 'NC'), ('l', 'ADJ'), ('oreal', 'ADJ'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('Aucune', 'DET'), ('surprise', 'NC'), ('avec', 'P'), ('cette', 'DET'), ('marque', 'NC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('Les', 'DET'), ('cheveux', 'NC'), ('sont', 'V'), ('doux', 'ADJ'), ('et', 'CC'), ('déjaunis', 'ADJ'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('!', 'PUNC'), ('Je', 'CLS'), ('recommande', 'V')]"
829,"[('Produit', 'NC'), ('arrivé', 'VPP'), ('sans', 'P'), ('emballage', 'NC'), (',', 'PUNC'), ('impossible', 'ADJ'), ('de', 'P'), ('vérifier', 'VINF'), ('si', 'CS'), ('le', 'DET'), ('produit', 'NC'), ('est', 'V'), ('neuf', 'ADJ'), ('.', 'PUNC')]"
830,"[('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), ('pour', 'P'), ('cheveux', 'NC'), ('blanc', 'ADJ')]"
831,"[('Ce', 'DET'), ('produit', 'NC'), ('me', 'CLO'), ('satisfait', 'V'), ('bien', 'ADV'), ('j', 'NC'), ('’', 'ADJ'), ('espère', 'V'), ('que', 'CS'), ('cela', 'PRO'), ('va', 'V'), ('continuer', 'VINF'), ('a', 'V'), ('se', 'CLR'), ('pigmenter', 'VINF'), ('davantage', 'ADV'), ('.', 'PUNC'), (""j'"", 'CLS'), ('en', 'CLO'), ('suis', 'V'), ('a', 'V'), ('ma', 'DET'), ('4', 'DET'), ('°', 'DET'), ('application', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('vais', 'V'), ('attaquer', 'VINF'), ('la', 'DET'), ('5', 'DET'), ('°', 'DET'), ('Au', 'DET'), ('niveau', 'DET'), ('prix', 'NC'), ('ça', 'PRO'), ('reste', 'V'), ('très', 'ADV'), ('raisonnable', 'ADJ'), (',', 'PUNC'), ('avant', 'P'), ('je', 'CLS'), ('faisais', 'V'), ('des', 'DET'), ('mèches', 'N'), ('5', 'ADJ'), ('fois', 'N'), ('par', 'P'), ('an', 'NC'), ('a', 'V'), ('60', 'DET'), ('euro', 'N'), ('la', 'DET'), ('séance', 'NC'), ('.', 'PUNC'), ('Merci', 'N'), ('de', 'P'), ('votre', 'DET'), ('réponse', 'NC'), ('.', 'PUNC')]"
832,"[('Produits', 'NC'), ('de', 'P'), ('très', 'ADV'), ('bonne', 'ADJ'), ('qualité', 'NC'), ('et', 'CC'), ('très', 'ADV'), ('efficace', 'ADJ'), ('répare', 'NC'), ('et', 'CC'), ('Démêle', 'NC'), ('super', 'ADJ'), ('bien', 'ADV'), ('les', 'DET'), ('cheveux', 'NC'), ('effet', 'N'), ('très', 'ADV'), ('agréable', 'ADJ'), ('et', 'CC'), ('très', 'ADV'), ('doux', 'ADJ'), ('même', 'ADV'), ('pas', 'ADV'), ('besoin', 'NC'), ('de', 'P'), ('démêler', 'VINF'), ('après', 'P'), ('je', 'CLS'), ('suis', 'V'), ('fan', 'ADJ')]"
833,"[('Tres', 'NPP'), ('bon', 'ADJ'), ('produit', 'NC'), ('.', 'PUNC'), ('Gel', 'NC'), ('tres', 'ADJ'), ('efficace', 'ADJ'), ('le', 'DET'), ('meilleur', 'ADJ'), ('pour', 'P'), ('moi', 'PRO'), ('sur', 'P'), ('le', 'DET'), ('marché', 'NC'), ('.', 'PUNC'), ('On', 'CLS'), ('ne', 'ADV'), ('peut', 'V'), ('le', 'CLO'), ('trouver', 'VINF'), ('que', 'CS'), ('chez', 'P'), ('les', 'DET'), ('professionels', 'NC'), ('de', 'P'), ('la', 'DET'), ('coiffure', 'NC'), ('en', 'P'), ('temps', 'N'), ('normal', 'ADJ'), ('.', 'PUNC'), ('Tres', 'ET'), ('bonne', 'ADJ'), ('fixation', 'NC'), ('qui', 'PROREL'), ('tiens', 'V'), ('toute', 'DET'), ('la', 'DET'), ('journée', 'NC'), ('.', 'PUNC')]"
834,
835,"[('Déjaunie', 'VPP'), ('vraiment', 'ADV'), ('très', 'ADV'), ('bien', 'ADV'), ('.', 'PUNC')]"
836,"[('Ce', 'DET'), ('masque', 'NC'), ('est', 'V'), ('arrivé', 'VPP'), ('super', 'NC'), ('rapidement', 'ADV'), (',', 'PUNC'), (""j'"", 'CLS'), ('adore', 'V'), ('ce', 'DET'), ('produit', 'NC'), ('il', 'CLS'), ('réparent', 'V'), ('le', 'DET'), ('cheveux', 'NC'), ('en', 'P'), ('profondeur', 'NC'), ('moi', 'PRO'), ('qui', 'PROREL'), ('est', 'V'), ('un', 'DET'), ('cheveux', 'NC'), ('naturellement', 'ADV'), ('sec', 'ADJ'), ('je', 'CLS'), ('le', 'CLO'), ('recommande', 'V'), ('!', 'PUNC')]"
837,"[('Acheté', 'VPP'), ('après', 'P'), ('les', 'DET'), ('vacances', 'NC'), (',', 'PUNC'), ('où', 'PROREL'), ('mes', 'DET'), ('cheveux', 'NC'), ('longs', 'ADJ'), ('et', 'CC'), ('ondulés', 'ADJ'), ('ressemblaient', 'V'), ('à', 'P'), ('une', 'DET'), ('tignasse', 'N'), ('de', 'P'), ('foin', 'N'), ('.', 'PUNC'), ('Je', 'CLS'), ('ne', 'ADV'), ('suis', 'V'), ('pas', 'ADV'), ('une', 'DET'), ('grande', 'ADJ'), ('adepte', 'NC'), ('des', 'P'), ('masque', 'NC'), ('et', 'CC'), ('des', 'P'), ('soins', 'NC'), ('capillaires', 'ADJ'), ('en', 'P'), ('général', 'NC'), ('mais', 'CC'), ('j', 'NC'), ('’', 'ADJ'), ('ai', 'V'), ('quand', 'CS'), ('même', 'ADV'), ('voulu', 'VPP'), ('tenter', 'VINF'), ('ce', 'DET'), ('masque', 'NC'), ('au', 'P'), ('vu', 'V'), ('des', 'P'), ('avis', 'NC'), ('positifs', 'ADJ'), (',', 'PUNC'), ('et', 'CC'), ('effectivement', 'ADV'), (',', 'PUNC'), ('dès', 'P'), ('la', 'DET'), ('première', 'ADJ'), ('application', 'NC'), (',', 'PUNC'), ('on', 'CLS'), ('sent', 'V'), ('que', 'CS'), ('les', 'DET'), ('cheveux', 'NC'), ('s', 'ET'), ('’', 'ET'), ('adoucissent', 'V'), ('et', 'CC'), ('s', 'ET'), ('’', 'ET'), ('assouplissent', 'V'), ('.', 'PUNC')]"
838,"[('Shampooing', 'NPP'), ('très', 'ADV'), ('bien', 'ADV'), ('pour', 'P'), ('mèches', 'NC'), ('blondes', 'ADJ'), ('celui', 'PRO'), ('ci', 'ADV'), ('enleve', 'V'), ('le', 'DET'), ('jaunissement', 'NC'), ('.', 'PUNC'), ('je', 'CLS'), (""l'"", 'CLO'), ('applique', 'V'), ('sur', 'P'), ('cheveux', 'NC'), ('humides', 'ADJ'), ('et', 'CC'), ('le', 'DET'), ('temps', 'NC'), ('de', 'P'), ('ma', 'DET'), ('douche', 'NC'), ('.', 'PUNC'), ('.', 'PUNC')]"
839,"[('Gel', 'NC'), ('en', 'P'), ('spray', 'N'), ('ultra', 'ADV'), ('fixant', 'VPR'), ('sans', 'P'), ('effet', 'N'), ('carton', 'N')]"
840,"[('Produit', 'NC'), ('qui', 'PROREL'), ('a', 'V'), ('parfaitement', 'ADV'), ('répondu', 'VPP'), ('à', 'P'), ('mes', 'DET'), ('attentes', 'NC'), (',', 'PUNC'), ('lassée', 'VPP'), ('de', 'P'), ('passer', 'VINF'), ('mon', 'DET'), ('temps', 'NC'), ('chez', 'P'), ('les', 'DET'), ('coiffeurs', 'NC'), (',', 'PUNC'), ('j', 'NC'), ('ai', 'V'), ('essayé', 'VPP'), ('ce', 'DET'), ('produit', 'NC'), ('très', 'ADV'), ('facile', 'ADJ'), ('à', 'P'), ('utiliser', 'VINF'), ('et', 'CC'), ('rapide', 'ADJ'), ('a', 'V'), ('faire', 'VINF'), ('et', 'CC'), ('j', 'NC'), ('ai', 'V'), ('obtenu', 'VPP'), ('le', 'DET'), ('même', 'ADJ'), ('résultat', 'NC'), ('qu', 'VPP'), ('avec', 'P'), ('le', 'DET'), ('lissage', 'NC'), ('brésilien', 'ADJ'), ('fait', 'V'), ('chez', 'P'), ('mon', 'DET'), ('coiffeur', 'NC'), ('et', 'CC'), ('qui', 'PROREL'), ('me', 'CLO'), ('prends', 'V'), ('3', 'DET'), ('heures', 'NC'), ('donc', 'ADV'), ('je', 'CLS'), ('le', 'CLO'), ('recommande', 'V')]"
841,"[('Magique', 'ADJ'), ('!', 'PUNC'), (""C'"", 'CLS'), ('est', 'V'), ('un', 'DET'), ('produit', 'NC'), ('qui', 'PROREL'), ('sublimera', 'V'), ('vos', 'DET'), ('cheveux', 'NC'), ('autant', 'ADV'), ('lisse', 'V'), ('que', 'ADV'), ('naturel', 'ADJ'), ('.', 'PUNC'), ('Très', 'ADV'), ('bon', 'ADJ'), ('rapport', 'N'), ('qualité', 'N'), ('prix', 'N'), (',', 'PUNC'), ('et', 'CC'), (""l'"", 'DET'), ('odeuuuuurr', 'NC'), ('mmmhh', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC')]"
842,"[('Ai', 'ADJ'), ('connu', 'VPP'), ('ce', 'DET'), ('produit', 'NC'), ('chez', 'P'), ('mon', 'DET'), ('coiffeur', 'NC'), ('.', 'PUNC'), (""N'"", 'ADV'), ('est', 'V'), ('pas', 'ADV'), ('collant', 'ADJ'), (',', 'PUNC'), (""s'"", 'CLR'), ('étale', 'V'), ('bien', 'ADV'), ('sur', 'P'), ('cheveux', 'NC'), ('secs', 'ADJ'), ('et', 'CC'), ('donne', 'V'), ('un', 'DET'), ('aspect', 'NC'), ('coiffé', 'VPP'), ('naturel', 'ADJ'), ('.', 'PUNC'), ('Bref', 'ADV'), (',', 'PUNC'), ('je', 'CLS'), ('suis', 'V'), ('un', 'DET'), ('e', 'NC'), ('pure', 'ADJ'), ('bombe', 'NC'), ('atomique', 'ADJ'), ('avec', 'P'), ('ce', 'DET'), ('gel', 'NC'), ('!', 'PUNC'), ('je', 'CLS'), ('recommande', 'V'), ('.', 'PUNC'), ('Le', 'DET'), ('pot', 'N'), ('permet', 'V'), ('de', 'P'), ('tenir', 'VINF'), ('1mois', 'DET'), ('et', 'CC'), ('demi', 'N'), ('2', 'ADJ'), ('mois', 'NC'), ('en', 'P'), ('fonction', 'N'), ('de', 'P'), ('la', 'DET'), ('fréquence', 'NC'), (""d'"", 'P'), ('utilisation', 'NC'), ('et', 'CC'), ('de', 'P'), ('la', 'DET'), ('quantité', 'NC'), ('que', 'CS'), ('vous', 'CLS'), ('utiliserez', 'V'), ('.', 'PUNC'), ('Une', 'DET'), ('noisette', 'NC'), ('suffit', 'V'), ('et', 'CC'), (""c'"", 'CLS'), ('est', 'V'), ('parti', 'VPP'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC')]"
843,"[('Bon', 'ADJ'), ('produit', 'VPP'), ('par', 'P'), ('rapport', 'N'), ('au', 'P'), ('prix', 'N'), ('.', 'PUNC'), (""N'"", 'ADV'), ('agresse', 'V'), ('pas', 'ADV'), ('Les', 'DET'), ('cheveux', 'NC'), ('.', 'PUNC'), ('Produit', 'NC'), ('fiable', 'ADJ'), ('.', 'PUNC'), ('Parfum', 'N'), ('subtil', 'ADJ'), ('mais', 'CC'), ('ca', 'ET'), (""n'"", 'ADV'), ('est', 'V'), ('pas', 'ADV'), ('plus', 'ADV'), ('mal', 'ADV'), ('.', 'PUNC'), ('.', 'PUNC')]"
844,"[('Ce', 'DET'), ('mascara', 'NC'), ('est', 'V'), ('au', 'P'), ('top', 'DET'), ('pour', 'P'), ('mes', 'DET'), ('cils', 'NC'), ('!', 'PUNC'), ('Étant', 'VPR'), ('passionnée', 'ADJ'), ('de', 'P'), ('makeup', 'NC'), (',', 'PUNC'), ('j', 'NC'), ('’', 'ADJ'), ('ai', 'V'), ('donc', 'ADV'), ('pu', 'VPP'), ('tester', 'VINF'), ('pas', 'ADV'), ('mal', 'ADV'), ('de', 'P'), ('marques', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('(', 'DET'), ('too', 'DET'), ('faced', 'DET'), (',', 'PUNC'), ('benefit', 'NC'), (',', 'PUNC'), ('marc', 'NC'), ('Jacobs', 'NPP'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), (')', 'DET'), ('J', 'N'), ('’', 'ADJ'), ('étais', 'V'), ('une', 'DET'), ('fan', 'NC'), ('inconditionnelle', 'ADJ'), ('du', 'P'), ('Marc', 'NPP'), ('Jacobs', 'NPP'), ('qui', 'PROREL'), ('coute', 'V'), ('quasiment', 'ADV'), ('28', 'ADJ'), ('€', 'NC'), ('.', 'PUNC'), ('Un', 'DET'), ('beau', 'ADJ'), ('jour', 'NC'), ('en', 'P'), ('regardant', 'VPR'), ('des', 'DET'), ('vidéos', 'NC'), ('YouTube', 'NPP'), (',', 'PUNC'), ('j', 'NC'), ('’', 'ADJ'), ('ai', 'V'), ('vu', 'VPP'), ('des', 'DET'), ('YouTubeuses', 'ADJ'), ('beauté', 'NC'), ('parler', 'V'), ('des', 'P'), ('mascaras', 'NC'), ('drugstores', 'ADJ'), (',', 'PUNC'), ('et', 'CC'), ('j', 'NC'), ('’', 'ADJ'), ('me', 'CLR'), ('suis', 'V'), ('dis', 'V'), ('pourquoi', 'ADV'), ('pas', 'ADV'), ('tester', 'VINF'), ('!', 'PUNC'), ('Aussitôt', 'ADV'), ('testé', 'VPP'), ('aussitôt', 'ADV'), ('adopté', 'VPP'), (':', 'PUNC'), (')', 'DET'), ('Il', 'CLS'), ('ne', 'ADV'), ('faut', 'V'), ('pas', 'ADV'), ('oublier', 'VINF'), ('que', 'CS'), ('le', 'DET'), ('mascara', 'NC'), ('est', 'V'), ('propre', 'ADJ'), ('à', 'P'), ('chacune', 'PRO'), ('les', 'DET'), ('filles', 'NC'), (':', 'PUNC'), (')', 'DET'), ('L', 'NC'), ('’', 'DET'), ('envoi', 'NC'), ('est', 'V'), ('très', 'ADV'), ('rapide', 'ADJ'), ('en', 'P'), ('plus', 'ADV'), ('et', 'C'), ('petit', 'ADJ'), ('bonus', 'N'), (',', 'PUNC'), ('si', 'CS'), ('vous', 'CLS'), ('avez', 'V'), ('un', 'DET'), ('compte', 'NC'), ('prime', 'V'), ('vous', 'CLS'), ('pouvez', 'VIMP'), ('vous', 'CLO'), ('faire', 'VINF'), ('livrer', 'VINF'), ('avec', 'P'), ('un', 'DET'), ('peu', 'ADV'), ('plus', 'ADV'), ('tard', 'ADV'), ('pour', 'P'), ('gagner', 'VINF'), ('1', 'DET'), ('€', 'NC'), ('sur', 'P'), ('la', 'DET'), ('commande', 'NC'), ('.', 'PUNC'), ('Ce', 'DET'), ('toujours', 'ADV'), ('ça', 'PRO'), ('de', 'P'), ('prit', 'V'), (';', 'PUNC'), (')', 'DET')]"
845,"[('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), (',', 'PUNC'), ('conforme', 'ADJ'), ('à', 'P'), ('mon', 'DET'), ('attente', 'NC'), ('.', 'PUNC'), ('Parfait', 'ADJ'), ('pour', 'P'), ('l', 'DET'), ('entretien', 'NC'), ('de', 'P'), ('mes', 'DET'), ('cheveux', 'NC'), ('grisonnants', 'ADJ'), ('!', 'PUNC'), ('J', 'N'), ('utilise', 'V'), ('ce', 'DET'), ('shampoing', 'NC'), ('depuis', 'P'), ('cinq', 'DET'), ('ans', 'NC'), (',', 'PUNC'), ('j', 'NC'), ('en', 'P'), ('suis', 'V'), ('très', 'ADV'), ('satisfait', 'ADJ'), ('.', 'PUNC')]"
